reporting_month,purchase_order_id,purchase_order_line_id,shipment_id,supplier_id,supplier_name,supplier_tier,category,subcategory,country,region,currency,sku,order_date,requested_delivery_date,promised_delivery_date,actual_delivery_date,order_status,line_status,ordered_quantity,received_quantity,rejected_quantity,returned_quantity,unit_of_measure,contract_unit_price,invoiced_unit_price,invoiced_quantity,invoice_number,invoice_date,invoice_due_date,payment_date,invoice_status,inspection_date,defect_code,issue_opened_at,first_supplier_response_at,issue_resolved_at,expedite_requested_flag,expedite_reason,contract_required_delivery_days,contract_min_order_quantity,required_compliance_documents,valid_compliance_documents,supplier_audit_date,supplier_audit_expiry_date,sustainability_certificate_status,payment_terms_days,account_manager,primary_contact_channel
2024-04,PO-2024-000004,PO-2024-000004-L05,SHP-202404-000004,SUP-023,DeltaPeak Manufacturing,Preferred,Logistics Materials,Pallets,United Kingdom,Western Europe,GBP,SKU-LOG-244,2024-04-19,2024-05-18,2024-05-17,2024-05-12,Delivered,Fully Received,146,146,0,0,EA,5.12,5.12,146,INV-202404-000004,2024-05-17,2024-07-01,,Overdue,2024-05-13,,,,,Y,Urgent demand,22,21,ISO9001|ISO14001|SA8000,ISO9001|ISO14001|SA8000,2023-02-28,2025-06-27,Certified,45,Reese Martin,Portal
2024-05,PO-2024-000005,PO-2024-000005-L01,SHP-202405-000005,SUP-052,Ironvale Systems,Standard,Hydraulics,Hoses,South Korea,East Asia,KRW,SKU-HYD-354,2024-05-10,2024-06-06,2024-05-27,2024-05-27,Delivered,Fully Received,17,17,0,0,EA,68299.88,68299.88,17,INV-202405-000005,2024-05-28,2024-07-27,,Overdue,2024-05-28,PROCESS_DEVIATION,2024-05-28T15:00:00Z,2024-05-30T12:00:00Z,2024-06-02T17:00:00Z,N,,17,40,COC|ROHS|REACH,COC,2023-09-07,2025-03-10,Pending Renewal,60,Jordan Kim,Phone
2024-05,PO-2024-000005,PO-2024-000005-L02,SHP-202405-000005,SUP-052,Ironvale Systems,Standard,Electrical,Cables,South Korea,East Asia,KRW,SKU-ELE-367,2024-05-10,2024-06-06,2024-05-27,2024-05-27,Delivered,Fully Received,225,225,0,0,M,19226.86,19226.86,225,INV-202405-000005,2024-05-28,2024-07-27,,Overdue,2024-05-29,,,,,N,,17,40,COC|ROHS|REACH,COC,2023-09-07,2025-03-10,Pending Renewal,60,Jordan Kim,Phone
2024-05,PO-2024-000005,PO-2024-000005-L03,SHP-202405-000005,SUP-052,Ironvale Systems,Standard,Hydraulics,Hoses,South Korea,East Asia,KRW,SKU-HYD-380,2024-05-10,2024-06-06,2024-05-27,2024-05-27,Delivered,Fully Received,47,47,0,0,EA,64614.73,64614.73,47,INV-202405-000005,2024-05-28,2024-07-27,,Overdue,2024-05-30,,,,,N,,17,40,COC|ROHS|REACH,COC,2023-09-07,2025-03-10,Pending Renewal,60,Jordan Kim,Phone
2024-05,PO-2024-000005,PO-2024-000005-L04,SHP-202405-000005,SUP-052,Ironvale Systems,Standard,Hydraulics,Hoses,South Korea,East Asia,KRW,SKU-HYD-393,2024-05-10,2024-06-06,2024-05-27,2024-05-27,Delivered,Fully Received,43,43,0,0,EA,50483.63,50483.63,43,INV-202405-000005,2024-05-28,2024-07-27,,Overdue,2024-05-28,,,,,N,,17,40,COC|ROHS|REACH,COC,2023-09-07,2025-03-10,Pending Renewal,60,Jordan Kim,Phone
2024-06,PO-2024-000006,PO-2024-000006-L01,SHP-202406-000006,SUP-009,Blueforge Materials,Strategic,Bearings,Roller Bearings,Poland,Central Europe,PLN,SKU-BRG-156,2024-06-03,2024-07-13,2024-07-03,2024-06-29,Delivered,Fully Received,51,51,0,0,EA,98.69,98.69,51,INV-202406-000006,2024-07-01,2024-08-15,2024-08-13,Paid,2024-07-01,,,,,N,,27,15,ISO9001|COC|ISO14001,ISO9001|COC|ISO14001,2023-06-02,2026-06-01,Certified,45,Quinn Foster,Account Portal
2024-06,PO-2024-000006,PO-2024-000006-L02,SHP-202406-000006,SUP-009,Blueforge Materials,Strategic,Bearings,Roller Bearings,Poland,Central Europe,PLN,SKU-BRG-169,2024-06-03,2024-07-13,2024-07-03,2024-06-29,Delivered,Fully Received,102,102,0,0,EA,83.11,83.11,102,INV-202406-000006,2024-07-01,2024-08-15,2024-08-13,Paid,2024-07-02,,,,,N,,27,15,ISO9001|COC|ISO14001,ISO9001|COC|ISO14001,2023-06-02,2026-06-01,Certified,45,Quinn Foster,Account Portal
2024-06,PO-2024-000006,PO-2024-000006-L03,SHP-202406-000006,SUP-009,Blueforge Materials,Strategic,Electrical,Connectors,Poland,Central Europe,PLN,SKU-ELE-182,2024-06-03,2024-07-13,2024-07-03,2024-06-29,Delivered,Fully Received,75,75,0,0,EA,41.80,41.80,75,INV-202406-000006,2024-07-01,2024-08-15,2024-08-13,Paid,2024-06-30,,,,,N,,27,15,ISO9001|COC|ISO14001,ISO9001|COC|ISO14001,2023-06-02,2026-06-01,Certified,45,Quinn Foster,Account Portal
2024-06,PO-2024-000006,PO-2024-000006-L04,SHP-202406-000006,SUP-009,Blueforge Materials,Strategic,Bearings,Roller Bearings,Poland,Central Europe,PLN,SKU-BRG-195,2024-06-03,2024-07-13,2024-07-03,2024-06-29,Delivered,Fully Received,3,3,0,0,EA,75.10,75.10,3,INV-202406-000006,2024-07-01,2024-08-15,2024-08-13,Paid,2024-07-01,,,,,N,,27,15,ISO9001|COC|ISO14001,ISO9001|COC|ISO14001,2023-06-02,2026-06-01,Certified,45,Quinn Foster,Account Portal
2024-07,PO-2024-000007,PO-2024-000007-L01,SHP-202407-000007,SUP-038,Greenward Industries,Standard,Fasteners,Bolts,Canada,North America,CAD,SKU-FST-318,2024-07-27,2024-09-03,2024-08-24,2024-09-22,Delivered,Fully Received,20,20,0,0,EA,6.91,6.91,20,INV-202407-000007,2024-09-25,2024-11-24,2024-11-27,Paid,2024-09-25,,,,,N,,22,34,ISO9001|COC|REACH,ISO9001|COC,2023-12-10,2025-06-12,Expired,60,Casey Rivera,Portal
2024-07,PO-2024-000007,PO-2024-000007-L02,SHP-202407-000007,SUP-038,Greenward Industries,Standard,Fasteners,Bolts,Canada,North America,CAD,SKU-FST-331,2024-07-27,2024-09-03,2024-08-24,2024-09-22,Delivered,Fully Received,14,14,0,0,EA,7.28,7.28,14,INV-202407-000007,2024-09-25,2024-11-24,2024-11-27,Paid,2024-09-23,,,,,N,,22,34,ISO9001|COC|REACH,ISO9001|COC,2023-12-10,2025-06-12,Expired,60,Casey Rivera,Portal
2024-07,PO-2024-000007,PO-2024-000007-L03,SHP-202407-000007,SUP-038,Greenward Industries,Standard,Fasteners,Nuts,Canada,North America,CAD,SKU-FST-344,2024-07-27,2024-09-03,2024-08-24,2024-09-22,Delivered,Fully Received,124,124,0,0,EA,7.49,8.39,122,INV-202407-000007,2024-09-25,2024-11-24,2024-11-27,Paid,2024-09-24,,,,,N,,22,34,ISO9001|COC|REACH,ISO9001|COC,2023-12-10,2025-06-12,Expired,60,Casey Rivera,Portal
2024-07,PO-2024-000007,PO-2024-000007-L04,SHP-202407-000007,SUP-038,Greenward Industries,Standard,Fasteners,Nuts,Canada,North America,CAD,SKU-FST-357,2024-07-27,2024-09-03,2024-08-24,2024-09-22,Delivered,Fully Received,87,87,0,0,EA,5.99,5.99,87,INV-202407-000007,2024-09-25,2024-11-24,2024-11-27,Paid,2024-09-25,,,,,N,,22,34,ISO9001|COC|REACH,ISO9001|COC,2023-12-10,2025-06-12,Expired,60,Casey Rivera,Portal
2024-08,PO-2024-000008,PO-2024-000008-L01,SHP-202408-000008,SUP-067,Lumina Components,Watchlist,Machined Parts,Brackets,Malaysia,Southeast Asia,MYR,SKU-MCH-480,2024-08-24,2024-09-17,2024-09-10,2024-09-18,Partially Delivered,Partially Received,40,32,0,0,EA,174.62,174.62,32,INV-202408-000008,2024-09-22,2024-10-22,,Pending,2024-09-19,,,,,Y,Material shortage,17,7,ISO9001|COC|ROHS,ISO9001,2023-06-24,2024-04-19,Expired,30,Taylor Brooks,Phone
2024-08,PO-2024-000008,PO-2024-000008-L02,SHP-202408-000008,SUP-067,Lumina Components,Watchlist,Machined Parts,Shafts,Malaysia,Southeast Asia,MYR,SKU-MCH-493,2024-08-24,2024-09-17,2024-09-10,2024-09-18,Partially Delivered,Partially Received,55,34,0,9,EA,173.17,173.17,34,INV-202408-000008,2024-09-22,2024-10-22,,Pending,2024-09-20,,,,,Y,Material shortage,17,7,ISO9001|COC|ROHS,ISO9001,2023-06-24,2024-04-19,Expired,30,Taylor Brooks,Phone
2024-08,PO-2024-000008,PO-2024-000008-L03,SHP-202408-000008,SUP-067,Lumina Components,Watchlist,Machined Parts,Shafts,Malaysia,Southeast Asia,MYR,SKU-MCH-506,2024-08-24,2024-09-17,2024-09-10,2024-09-18,Partially Delivered,Partially Received,1,0,0,0,EA,206.81,,,,,,,,,,,,,Y,Material shortage,17,7,ISO9001|COC|ROHS,ISO9001,2023-06-24,2024-04-19,Expired,30,Taylor Brooks,Phone
2024-08,PO-2024-000008,PO-2024-000008-L04,SHP-202408-000008,SUP-067,Lumina Components,Watchlist,Machined Parts,Shafts,Malaysia,Southeast Asia,MYR,SKU-MCH-519,2024-08-24,2024-09-17,2024-09-10,2024-09-18,Partially Delivered,Partially Received,18,14,0,0,EA,165.04,165.04,14,INV-202408-000008,2024-09-22,2024-10-22,,Pending,2024-09-19,,,,,Y,Material shortage,17,7,ISO9001|COC|ROHS,ISO9001,2023-06-24,2024-04-19,Expired,30,Taylor Brooks,Phone
2024-09,PO-2024-000009,PO-2024-000009-L01,SHP-202409-000009,SUP-024,DeltaPeak Works,Preferred,Office Consumables,Printer Supplies,Germany,Western Europe,EUR,SKU-OFF-282,2024-09-21,2024-10-28,2024-10-21,2024-10-18,Delivered,Fully Received,7,7,0,0,BOX,4.38,4.38,7,INV-202409-000009,2024-10-23,2024-12-22,2025-01-08,Paid,2024-10-20,,,,,N,,27,28,COC|REACH|SA8000,COC|REACH|SA8000,2023-03-19,2025-07-16,Certified,60,Cameron Diaz,Account Portal
2024-09,PO-2024-000009,PO-2024-000009-L02,SHP-202409-000009,SUP-024,DeltaPeak Works,Preferred,Office Consumables,Printer Supplies,Germany,Western Europe,EUR,SKU-OFF-295,2024-09-21,2024-10-28,2024-10-21,2024-10-18,Delivered,Fully Received,18,18,0,0,BOX,5.46,5.46,18,INV-202409-000009,2024-10-23,2024-12-22,2025-01-08,Paid,2024-10-21,,,,,N,,27,28,COC|REACH|SA8000,COC|REACH|SA8000,2023-03-19,2025-07-16,Certified,60,Cameron Diaz,Account Portal
2024-10,PO-2024-000010,PO-2024-000010-L01,SHP-202410-000010,SUP-053,Ironvale Manufacturing,Standard,Logistics Materials,Pallets,Australia,Oceania,AUD,SKU-LOG-444,2024-10-10,2024-11-14,2024-11-07,2024-11-08,Delivered,Fully Received,124,124,0,0,EA,12.29,12.29,124,INV-202410-000010,2024-11-09,2024-12-09,2024-12-03,Paid,2024-11-11,,,,,N,,22,47,ISO9001|ISO14001|SA8000,ISO9001|ISO14001,2023-09-26,2025-03-29,Expired,30,Morgan Ellis,Portal
2024-10,PO-2024-000010,PO-2024-000010-L02,SHP-202410-000010,SUP-053,Ironvale Manufacturing,Standard,Hydraulics,Valves,Australia,Oceania,AUD,SKU-HYD-457,2024-10-10,2024-11-14,2024-11-07,2024-11-08,Delivered,Fully Received,179,179,11,0,EA,63.64,63.64,179,INV-202410-000010,2024-11-09,2024-12-09,2024-12-03,Paid,2024-11-09,DAMAGED,2024-11-09T14:00:00Z,2024-11-10T02:00:00Z,2024-11-14T13:00:00Z,N,,22,47,ISO9001|ISO14001|SA8000,ISO9001|ISO14001,2023-09-26,2025-03-29,Expired,30,Morgan Ellis,Portal
2024-10,PO-2024-000010,PO-2024-000010-L03,SHP-202410-000010,SUP-053,Ironvale Manufacturing,Standard,Bearings,Roller Bearings,Australia,Oceania,AUD,SKU-BRG-470,2024-10-10,2024-11-14,2024-11-07,2024-11-08,Delivered,Fully Received,149,149,0,0,EA,27.73,27.73,149,INV-202410-000010,2024-11-09,2024-12-09,2024-12-03,Paid,2024-11-10,,,,,N,,22,47,ISO9001|ISO14001|SA8000,ISO9001|ISO14001,2023-09-26,2025-03-29,Expired,30,Morgan Ellis,Portal
2024-11,PO-2024-000011,PO-2024-000011-L01,SHP-202411-000011,SUP-010,Blueforge Systems,Strategic,Fasteners,Nuts,Czech Republic,Central Europe,CZK,SKU-FST-246,2024-11-05,2024-12-23,2024-12-07,,Open,Open,141,0,0,0,EA,116.23,,,,,,,,,,,,,N,,32,22,COC|ROHS|REACH,COC|ROHS|REACH,2023-06-21,2026-06-20,Certified,60,Parker Lee,EDI
2024-11,PO-2024-000011,PO-2024-000011-L02,SHP-202411-000011,SUP-010,Blueforge Systems,Strategic,MRO Supplies,Filters,Czech Republic,Central Europe,CZK,SKU-MRO-259,2024-11-05,2024-12-23,2024-12-07,,Open,Open,22,0,0,0,EA,419.33,,,,,,,,,,,,,N,,32,22,COC|ROHS|REACH,COC|ROHS|REACH,2023-06-21,2026-06-20,Certified,60,Parker Lee,EDI
2024-11,PO-2024-000011,PO-2024-000011-L03,SHP-202411-000011,SUP-010,Blueforge Systems,Strategic,Machined Parts,Shafts,Czech Republic,Central Europe,CZK,SKU-MCH-272,2024-11-05,2024-12-23,2024-12-07,,Open,Open,110,0,0,0,EA,999.69,,,,,,,,,,,,,N,,32,22,COC|ROHS|REACH,COC|ROHS|REACH,2023-06-21,2026-06-20,Certified,60,Parker Lee,EDI
2024-11,PO-2024-000011,PO-2024-000011-L04,SHP-202411-000011,SUP-010,Blueforge Systems,Strategic,MRO Supplies,Filters,Czech Republic,Central Europe,CZK,SKU-MRO-285,2024-11-05,2024-12-23,2024-12-07,,Open,Open,11,0,0,0,EA,457.60,,,,,,,,,,,,,N,,32,22,COC|ROHS|REACH,COC|ROHS|REACH,2023-06-21,2026-06-20,Certified,60,Parker Lee,EDI
2024-12,PO-2024-000012,PO-2024-000012-L01,SHP-202412-000012,SUP-039,Greenward Materials,Standard,Hydraulics,Valves,Mexico,Latin America,MXN,SKU-HYD-408,2024-12-27,2025-01-30,2025-01-26,2025-01-22,Delivered,Fully Received,3,3,0,0,EA,673.01,753.77,6,INV-202412-000012,2025-01-25,2025-02-24,2025-03-11,Paid,2025-01-24,,,,,N,,27,41,ISO9001|COC|ISO14001,ISO9001|COC,2023-01-03,2024-07-06,Expired,30,Drew Patel,Account Portal
2024-12,PO-2024-000012,PO-2024-000012-L02,SHP-202412-000012,SUP-039,Greenward Materials,Standard,Packaging,Corrugated Cartons,Mexico,Latin America,MXN,SKU-PKG-421,2024-12-27,2025-01-30,2025-01-26,2025-01-22,Delivered,Fully Received,72,72,0,0,BOX,46.87,46.87,72,INV-202412-000012,2025-01-25,2025-02-24,2025-03-11,Paid,2025-01-25,,,,,N,,27,41,ISO9001|COC|ISO14001,ISO9001|COC,2023-01-03,2024-07-06,Expired,30,Drew Patel,Account Portal
2024-12,PO-2024-000012,PO-2024-000012-L03,SHP-202412-000012,SUP-039,Greenward Materials,Standard,Packaging,Corrugated Cartons,Mexico,Latin America,MXN,SKU-PKG-434,2024-12-27,2025-01-30,2025-01-26,2025-01-22,Delivered,Fully Received,10,10,0,0,BOX,55.69,55.69,10,INV-202412-000012,2025-01-25,2025-02-24,2025-03-11,Paid,2025-01-23,,,,,N,,27,41,ISO9001|COC|ISO14001,ISO9001|COC,2023-01-03,2024-07-06,Expired,30,Drew Patel,Account Portal
2024-12,PO-2024-000012,PO-2024-000012-L04,SHP-202412-000012,SUP-039,Greenward Materials,Standard,Packaging,Corrugated Cartons,Mexico,Latin America,MXN,SKU-PKG-447,2024-12-27,2025-01-30,2025-01-26,2025-01-22,Delivered,Fully Received,97,97,0,0,BOX,54.04,54.04,97,INV-202412-000012,2025-01-25,2025-02-24,2025-03-11,Paid,2025-01-24,,,,,N,,27,41,ISO9001|COC|ISO14001,ISO9001|COC,2023-01-03,2024-07-06,Expired,30,Drew Patel,Account Portal
2024-12,PO-2024-000012,PO-2024-000012-L05,SHP-202412-000012,SUP-039,Greenward Materials,Standard,Packaging,Protective Foam,Mexico,Latin America,MXN,SKU-PKG-460,2024-12-27,2025-01-30,2025-01-26,2025-01-22,Delivered,Fully Received,252,252,0,0,M,50.25,50.25,252,INV-202412-000012,2025-01-25,2025-02-24,2025-03-11,Paid,2025-01-25,,,,,N,,27,41,ISO9001|COC|ISO14001,ISO9001|COC,2023-01-03,2024-07-06,Expired,30,Drew Patel,Account Portal
2025-01,PO-2025-000013,PO-2025-000013-L01,SHP-202501-000013,SUP-068,Lumina Industries,Watchlist,Electrical,Connectors,Singapore,Southeast Asia,SGD,SKU-ELE-570,2025-01-24,2025-02-25,2025-02-21,2025-02-19,Delivered,Fully Received,23,23,4,0,EA,18.87,17.36,24,INV-202501-000013,2025-02-23,2025-04-09,2025-04-01,Paid,2025-02-22,PACKAGING_FAILURE,2025-02-22T09:00:00Z,2025-02-23T08:00:00Z,2025-02-26T03:00:00Z,Y,Urgent demand,22,14,ISO9001|COC|REACH,,2023-07-13,2024-05-08,Not Certified,45,Avery Singh,Portal
2025-01,PO-2025-000013,PO-2025-000013-L02,SHP-202501-000013,SUP-068,Lumina Industries,Watchlist,Electrical,Connectors,Singapore,Southeast Asia,SGD,SKU-ELE-583,2025-01-24,2025-02-25,2025-02-21,2025-02-19,Delivered,Fully Received,28,28,1,5,EA,14.42,14.42,28,INV-202501-000013,2025-02-23,2025-04-09,2025-04-01,Paid,2025-02-20,SPEC_MISMATCH,2025-02-20T10:00:00Z,2025-02-24T02:00:00Z,,Y,Urgent demand,22,14,ISO9001|COC|REACH,,2023-07-13,2024-05-08,Not Certified,45,Avery Singh,Portal
2025-01,PO-2025-000013,PO-2025-000013-L03,SHP-202501-000013,SUP-068,Lumina Industries,Watchlist,Electrical,Connectors,Singapore,Southeast Asia,SGD,SKU-ELE-596,2025-01-24,2025-02-25,2025-02-21,2025-02-19,Delivered,Fully Received,108,108,0,0,EA,16.25,18.20,105,INV-202501-000013,2025-02-23,2025-04-09,2025-04-01,Paid,2025-02-21,,,,,Y,Urgent demand,22,14,ISO9001|COC|REACH,,2023-07-13,2024-05-08,Not Certified,45,Avery Singh,Portal
2025-01,PO-2025-000013,PO-2025-000013-L04,SHP-202501-000013,SUP-068,Lumina Industries,Watchlist,Electrical,Connectors,Singapore,Southeast Asia,SGD,SKU-ELE-609,2025-01-24,2025-02-25,2025-02-21,2025-02-19,Delivered,Fully Received,98,98,9,0,EA,17.80,17.80,98,INV-202501-000013,2025-02-23,2025-04-09,2025-04-01,Paid,2025-02-22,DOCUMENTATION,2025-02-22T12:00:00Z,2025-02-23T15:00:00Z,2025-02-24T15:00:00Z,Y,Urgent demand,22,14,ISO9001|COC|REACH,,2023-07-13,2024-05-08,Not Certified,45,Avery Singh,Portal
2025-02,PO-2025-000014,PO-2025-000014-L01,SHP-202502-000014,SUP-025,Evercrest Components,Preferred,Safety Equipment,Gloves,Netherlands,Western Europe,EUR,SKU-SFT-372,2025-02-15,2025-04-01,2025-03-19,2025-03-23,Delivered,Fully Received,185,185,0,0,PAIR,12.69,12.69,185,INV-202502-000014,2025-03-28,2025-04-27,2025-04-29,Paid,2025-03-24,,,,,N,,32,35,ISO9001|COC|ROHS,ISO9001|COC|ROHS,2023-04-07,2025-08-04,Pending Renewal,30,Alex Morgan,EDI
2025-02,PO-2025-000014,PO-2025-000014-L02,SHP-202502-000014,SUP-025,Evercrest Components,Preferred,Electronics,Sensors,Netherlands,Western Europe,EUR,SKU-ELC-385,2025-02-15,2025-04-01,2025-03-19,2025-03-23,Delivered,Fully Received,84,84,0,0,EA,13.64,13.64,84,INV-202502-000014,2025-03-28,2025-04-27,2025-04-29,Paid,2025-03-25,,,,,N,,32,35,ISO9001|COC|ROHS,ISO9001|COC|ROHS,2023-04-07,2025-08-04,Pending Renewal,30,Alex Morgan,EDI
2025-02,PO-2025-000014,PO-2025-000014-L03,SHP-202502-000014,SUP-025,Evercrest Components,Preferred,Electronics,Control Modules,Netherlands,Western Europe,EUR,SKU-ELC-398,2025-02-15,2025-04-01,2025-03-19,2025-03-23,Delivered,Fully Received,259,259,0,0,EA,17.55,17.55,259,INV-202502-000014,2025-03-28,2025-04-27,2025-04-29,Paid,2025-03-26,,,,,N,,32,35,ISO9001|COC|ROHS,ISO9001|COC|ROHS,2023-04-07,2025-08-04,Pending Renewal,30,Alex Morgan,EDI
